Date,Hour,From City,To City
2020-02-01,0,0,1
2020-02-01,1,0,0
2020-02-01,2,0,0
2020-02-01,3,0,0
2020-02-01,4,0,0
2020-02-01,5,0,0
2020-02-01,6,9,2
2020-02-01,7,13,4
2020-02-01,8,12,22
2020-02-01,9,17,15
2020-02-01,10,38,20
2020-02-01,11,18,18
2020-02-01,12,20,19
2020-02-01,13,20,6
2020-02-01,14,19,21
2020-02-01,15,15,16
2020-02-01,16,12,11
2020-02-01,17,7,14
2020-02-01,18,13,3
2020-02-01,19,8,12
2020-02-01,20,5,4
2020-02-01,21,3,1
2020-02-01,22,1,3
2020-02-01,23,0,0
2020-02-02,0,0,1
2020-02-02,1,0,0
2020-02-02,2,0,0
2020-02-02,3,0,0
2020-02-02,4,0,0
2020-02-02,5,1,0
2020-02-02,6,6,1
2020-02-02,7,9,3
2020-02-02,8,22,11
2020-02-02,9,17,17
2020-02-02,10,8,13
2020-02-02,11,17,10
2020-02-02,12,11,13
2020-02-02,13,18,9
2020-02-02,14,11,16
2020-02-02,15,22,13
2020-02-02,16,13,18
2020-02-02,17,12,12
2020-02-02,18,8,9
2020-02-02,19,5,6
2020-02-02,20,7,5
2020-02-02,21,1,2
2020-02-02,22,1,0
2020-02-02,23,0,0
2020-02-03,0,0,0
2020-02-03,1,0,0
2020-02-03,2,0,0
2020-02-03,3,0,0
2020-02-03,4,0,0
2020-02-03,5,8,1
2020-02-03,6,16,4
2020-02-03,7,56,8
2020-02-03,8,75,13
2020-02-03,9,37,6
2020-02-03,10,20,5
2020-02-03,11,13,7
2020-02-03,12,12,15
2020-02-03,13,7,8
2020-02-03,14,7,7
2020-02-03,15,8,22
2020-02-03,16,5,65
2020-02-03,17,14,82
2020-02-03,18,23,35
2020-02-03,19,17,14
2020-02-03,20,12,12
2020-02-03,21,3,3
2020-02-03,22,0,3
2020-02-03,23,0,0
2020-02-04,0,0,0
2020-02-04,1,0,0
2020-02-04,2,0,0
2020-02-04,3,0,0
2020-02-04,4,1,0
2020-02-04,5,5,3
2020-02-04,6,26,5
2020-02-04,7,71,9
2020-02-04,8,87,14
2020-02-04,9,26,5
2020-02-04,10,15,12
2020-02-04,11,16,6
2020-02-04,12,17,16
2020-02-04,13,10,11
2020-02-04,14,5,16
2020-02-04,15,7,22
2020-02-04,16,11,78
2020-02-04,17,14,82
2020-02-04,18,8,25
2020-02-04,19,10,12
2020-02-04,20,5,7
2020-02-04,21,0,0
2020-02-04,22,0,0
2020-02-04,23,0,0
2020-02-05,0,0,0
2020-02-05,1,0,0
2020-02-05,2,0,0
2020-02-05,3,0,0
2020-02-05,4,0,0
2020-02-05,5,5,0
2020-02-05,6,8,4
2020-02-05,7,61,8
2020-02-05,8,64,7
2020-02-05,9,27,5
2020-02-05,10,8,4
2020-02-05,11,21,3
2020-02-05,12,8,13
2020-02-05,13,16,12
2020-02-05,14,7,16
2020-02-05,15,6,26
2020-02-05,16,9,49
2020-02-05,17,11,69
2020-02-05,18,10,16
2020-02-05,19,11,18
2020-02-05,20,13,17
2020-02-05,21,3,3
2020-02-05,22,2,3
2020-02-05,23,0,2
2020-02-06,0,0,0
2020-02-06,1,0,0
2020-02-06,2,0,0
2020-02-06,3,0,0
2020-02-06,4,0,0
2020-02-06,5,0,0
2020-02-06,6,13,5
2020-02-06,7,14,9
2020-02-06,8,27,16
2020-02-06,9,25,23
2020-02-06,10,24,23
2020-02-06,11,38,29
2020-02-06,12,20,32
2020-02-06,13,16,22
2020-02-06,14,39,20
2020-02-06,15,13,43
2020-02-06,16,26,25
2020-02-06,17,20,26
2020-02-06,18,20,17
2020-02-06,19,14,11
2020-02-06,20,9,12
2020-02-06,21,5,3
2020-02-06,22,0,1
2020-02-06,23,0,0
2020-02-07,0,0,0
2020-02-07,1,0,0
2020-02-07,2,0,0
2020-02-07,3,0,0
2020-02-07,4,0,0
2020-02-07,5,7,0
2020-02-07,6,4,8
2020-02-07,7,41,6
2020-02-07,8,57,17
2020-02-07,9,32,7
2020-02-07,10,27,22
2020-02-07,11,14,22
2020-02-07,12,16,13
2020-02-07,13,20,18
2020-02-07,14,14,14
2020-02-07,15,12,16
2020-02-07,16,10,48
2020-02-07,17,31,64
2020-02-07,18,14,23
2020-02-07,19,20,20
2020-02-07,20,6,11
2020-02-07,21,1,3
2020-02-07,22,0,2
2020-02-07,23,1,0
2020-02-08,0,0,1
2020-02-08,1,1,0
2020-02-08,2,0,0
2020-02-08,3,0,0
2020-02-08,4,0,0
2020-02-08,5,0,0
2020-02-08,6,10,2
2020-02-08,7,15,10
2020-02-08,8,18,10
2020-02-08,9,34,19
2020-02-08,10,33,28
2020-02-08,11,41,45
2020-02-08,12,19,12
2020-02-08,13,18,10
2020-02-08,14,12,16
2020-02-08,15,12,14
2020-02-08,16,7,8
2020-02-08,17,6,15
2020-02-08,18,3,6
2020-02-08,19,2,1
2020-02-08,20,1,3
2020-02-08,21,0,1
2020-02-08,22,0,2
2020-02-08,23,0,0
2020-02-09,0,0,0
2020-02-09,1,0,1
2020-02-09,2,0,0
2020-02-09,3,0,0
2020-02-09,4,0,0
2020-02-09,5,3,0
2020-02-09,6,5,0
2020-02-09,7,31,14
2020-02-09,8,16,19
2020-02-09,9,25,16
2020-02-09,10,70,54
2020-02-09,11,35,42
2020-02-09,12,31,33
2020-02-09,13,31,27
2020-02-09,14,20,20
2020-02-09,15,28,23
2020-02-09,16,19,28
2020-02-09,17,19,25
2020-02-09,18,13,16
2020-02-09,19,12,7
2020-02-09,20,10,9
2020-02-09,21,0,1
2020-02-09,22,0,2
2020-02-09,23,0,0
2020-02-10,0,0,0
2020-02-10,1,0,0
2020-02-10,2,0,0
2020-02-10,3,0,0
2020-02-10,4,0,0
2020-02-10,5,5,0
2020-02-10,6,9,2
2020-02-10,7,66,10
2020-02-10,8,81,12
2020-02-10,9,30,8
2020-02-10,10,13,10
2020-02-10,11,9,8
2020-02-10,12,10,12
2020-02-10,13,9,7
2020-02-10,14,8,18
2020-02-10,15,14,30
2020-02-10,16,13,73
2020-02-10,17,18,76
2020-02-10,18,20,31
2020-02-10,19,11,26
2020-02-10,20,10,11
2020-02-10,21,2,1
2020-02-10,22,0,2
2020-02-10,23,0,0
2020-02-11,0,0,0
2020-02-11,1,0,0
2020-02-11,2,0,0
2020-02-11,3,0,0
2020-02-11,4,0,0
2020-02-11,5,3,0
2020-02-11,6,17,4
2020-02-11,7,56,6
2020-02-11,8,68,4
2020-02-11,9,27,7
2020-02-11,10,17,10
2020-02-11,11,9,12
2020-02-11,12,18,11
2020-02-11,13,14,13
2020-02-11,14,10,6
2020-02-11,15,6,24
2020-02-11,16,11,63
2020-02-11,17,20,64
2020-02-11,18,26,33
2020-02-11,19,18,9
2020-02-11,20,16,20
2020-02-11,21,4,5
2020-02-11,22,0,1
2020-02-11,23,0,0
2020-02-12,0,0,0
2020-02-12,1,0,0
2020-02-12,2,0,0
2020-02-12,3,0,0
2020-02-12,4,0,0
2020-02-12,5,7,0
2020-02-12,6,20,8
2020-02-12,7,72,12
2020-02-12,8,79,13
2020-02-12,9,41,8
2020-02-12,10,13,11
2020-02-12,11,10,7
2020-02-12,12,8,11
2020-02-12,13,14,10
2020-02-12,14,4,13
2020-02-12,15,11,24
2020-02-12,16,14,70
2020-02-12,17,15,71
2020-02-12,18,18,38
2020-02-12,19,13,20
2020-02-12,20,6,15
2020-02-12,21,1,4
2020-02-12,22,0,0
2020-02-12,23,0,0
2020-02-13,0,0,0
2020-02-13,1,0,0
2020-02-13,2,0,0
2020-02-13,3,0,0
2020-02-13,4,0,0
2020-02-13,5,5,0
2020-02-13,6,9,4
2020-02-13,7,60,5
2020-02-13,8,78,11
2020-02-13,9,34,9
2020-02-13,10,15,13
2020-02-13,11,9,7
2020-02-13,12,6,18
2020-02-13,13,8,7
2020-02-13,14,2,9
2020-02-13,15,13,20
2020-02-13,16,11,72
2020-02-13,17,21,65
2020-02-13,18,14,34
2020-02-13,19,10,17
2020-02-13,20,11,14
2020-02-13,21,0,0
2020-02-13,22,0,0
2020-02-13,23,0,0
2020-02-14,0,0,1
2020-02-14,1,0,0
2020-02-14,2,0,0
2020-02-14,3,0,0
2020-02-14,4,0,0
2020-02-14,5,3,0
2020-02-14,6,12,2
2020-02-14,7,57,6
2020-02-14,8,80,17
2020-02-14,9,31,10
2020-02-14,10,5,5
2020-02-14,11,10,14
2020-02-14,12,8,13
2020-02-14,13,14,10
2020-02-14,14,17,27
2020-02-14,15,10,23
2020-02-14,16,4,69
2020-02-14,17,13,64
2020-02-14,18,9,17
2020-02-14,19,10,19
2020-02-14,20,6,5
2020-02-14,21,0,3
2020-02-14,22,3,2
2020-02-14,23,0,1
2020-02-15,0,0,0
2020-02-15,1,0,0
2020-02-15,2,0,0
2020-02-15,3,0,0
2020-02-15,4,1,0
2020-02-15,5,0,0
2020-02-15,6,10,4
2020-02-15,7,10,10
2020-02-15,8,17,10
2020-02-15,9,36,20
2020-02-15,10,34,30
2020-02-15,11,17,27
2020-02-15,12,11,12
2020-02-15,13,25,7
2020-02-15,14,25,33
2020-02-15,15,13,18
2020-02-15,16,7,20
2020-02-15,17,9,11
2020-02-15,18,15,12
2020-02-15,19,18,15
2020-02-15,20,11,9
2020-02-15,21,0,4
2020-02-15,22,0,1
2020-02-15,23,0,0
2020-02-16,0,0,0
2020-02-16,1,0,0
2020-02-16,2,0,0
2020-02-16,3,0,0
2020-02-16,4,1,0
2020-02-16,5,0,0
2020-02-16,6,15,0
2020-02-16,7,17,15
2020-02-16,8,39,15
2020-02-16,9,21,30
2020-02-16,10,16,36
2020-02-16,11,22,36
2020-02-16,12,14,19
2020-02-16,13,10,10
2020-02-16,14,6,12
2020-02-16,15,16,15
2020-02-16,16,15,15
2020-02-16,17,18,15
2020-02-16,18,10,16
2020-02-16,19,9,8
2020-02-16,20,7,7
2020-02-16,21,0,3
2020-02-16,22,0,1
2020-02-16,23,0,1
2020-02-17,0,0,0
2020-02-17,1,0,0
2020-02-17,2,0,0
2020-02-17,3,0,0
2020-02-17,4,1,0
2020-02-17,5,3,0
2020-02-17,6,10,4
2020-02-17,7,60,4
2020-02-17,8,90,13
2020-02-17,9,34,8
2020-02-17,10,23,8
2020-02-17,11,25,13
2020-02-17,12,9,24
2020-02-17,13,7,9
2020-02-17,14,5,14
2020-02-17,15,7,26
2020-02-17,16,10,66
2020-02-17,17,15,74
2020-02-17,18,7,31
2020-02-17,19,10,10
2020-02-17,20,6,9
2020-02-17,21,1,2
2020-02-17,22,1,2
2020-02-17,23,0,1
2020-02-18,0,0,0
2020-02-18,1,0,0
2020-02-18,2,0,0
2020-02-18,3,0,0
2020-02-18,4,1,0
2020-02-18,5,3,0
2020-02-18,6,16,4
2020-02-18,7,60,10
2020-02-18,8,82,12
2020-02-18,9,44,10
2020-02-18,10,26,36
2020-02-18,11,16,23
2020-02-18,12,15,21
2020-02-18,13,15,11
2020-02-18,14,0,7
2020-02-18,15,6,19
2020-02-18,16,4,65
2020-02-18,17,6,72
2020-02-18,18,19,16
2020-02-18,19,4,12
2020-02-18,20,6,7
2020-02-18,21,0,4
2020-02-18,22,0,0
2020-02-18,23,0,1
2020-02-19,0,0,0
2020-02-19,1,0,0
2020-02-19,2,0,0
2020-02-19,3,0,0
2020-02-19,4,1,0
2020-02-19,5,3,0
2020-02-19,6,14,1
2020-02-19,7,45,4
2020-02-19,8,67,4
2020-02-19,9,31,2
2020-02-19,10,14,11
2020-02-19,11,10,1
2020-02-19,12,11,16
2020-02-19,13,9,10
2020-02-19,14,10,18
2020-02-19,15,6,25
2020-02-19,16,10,53
2020-02-19,17,22,66
2020-02-19,18,21,46
2020-02-19,19,11,25
2020-02-19,20,10,7
2020-02-19,21,0,3
2020-02-19,22,0,1
2020-02-19,23,0,1
2020-02-20,0,0,1
2020-02-20,1,0,1
2020-02-20,2,0,0
2020-02-20,3,0,0
2020-02-20,4,1,0
2020-02-20,5,3,0
2020-02-20,6,14,3
2020-02-20,7,49,7
2020-02-20,8,83,10
2020-02-20,9,35,6
2020-02-20,10,17,8
2020-02-20,11,6,17
2020-02-20,12,10,20
2020-02-20,13,23,6
2020-02-20,14,7,16
2020-02-20,15,12,24
2020-02-20,16,13,82
2020-02-20,17,17,64
2020-02-20,18,15,37
2020-02-20,19,21,35
2020-02-20,20,13,10
2020-02-20,21,2,12
2020-02-20,22,0,1
2020-02-20,23,0,0
2020-02-21,0,0,3
2020-02-21,1,1,0
2020-02-21,2,0,0
2020-02-21,3,0,0
2020-02-21,4,0,0
2020-02-21,5,6,0
2020-02-21,6,12,6
2020-02-21,7,65,5
2020-02-21,8,81,17
2020-02-21,9,38,6
2020-02-21,10,20,8
2020-02-21,11,13,17
2020-02-21,12,12,18
2020-02-21,13,14,12
2020-02-21,14,11,19
2020-02-21,15,3,29
2020-02-21,16,11,66
2020-02-21,17,11,49
2020-02-21,18,10,19
2020-02-21,19,4,13
2020-02-21,20,5,12
2020-02-21,21,0,1
2020-02-21,22,0,2
2020-02-21,23,0,1
2020-02-22,0,0,0
2020-02-22,1,0,0
2020-02-22,2,0,0
2020-02-22,3,0,0
2020-02-22,4,0,0
2020-02-22,5,0,0
2020-02-22,6,0,0
2020-02-22,7,4,1
2020-02-22,8,2,2
2020-02-22,9,3,3
2020-02-22,10,7,4
2020-02-22,11,8,4
2020-02-22,12,9,16
2020-02-22,13,10,12
2020-02-22,14,19,10
2020-02-22,15,27,31
2020-02-22,16,18,29
2020-02-22,17,12,13
2020-02-22,18,6,8
2020-02-22,19,7,5
2020-02-22,20,2,9
2020-02-22,21,0,1
2020-02-22,22,0,0
2020-02-22,23,0,0
2020-02-23,0,0,0
2020-02-23,1,0,0
2020-02-23,2,0,0
2020-02-23,3,0,0
2020-02-23,4,0,0
2020-02-23,5,0,0
2020-02-23,6,7,0
2020-02-23,7,13,9
2020-02-23,8,14,16
2020-02-23,9,39,21
2020-02-23,10,21,26
2020-02-23,11,20,21
2020-02-23,12,13,23
2020-02-23,13,22,19
2020-02-23,14,25,21
2020-02-23,15,32,31
2020-02-23,16,22,28
2020-02-23,17,13,17
2020-02-23,18,12,11
2020-02-23,19,9,9
2020-02-23,20,8,11
2020-02-23,21,1,3
2020-02-23,22,0,0
2020-02-23,23,2,1
2020-02-24,0,0,0
2020-02-24,1,0,0
2020-02-24,2,0,0
2020-02-24,3,0,0
2020-02-24,4,0,0
2020-02-24,5,3,1
2020-02-24,6,14,4
2020-02-24,7,80,10
2020-02-24,8,90,6
2020-02-24,9,31,7
2020-02-24,10,17,8
2020-02-24,11,13,15
2020-02-24,12,16,19
2020-02-24,13,24,13
2020-02-24,14,14,24
2020-02-24,15,18,33
2020-02-24,16,13,87
2020-02-24,17,12,96
2020-02-24,18,27,29
2020-02-24,19,9,20
2020-02-24,20,3,15
2020-02-24,21,0,1
2020-02-24,22,1,1
2020-02-24,23,0,0
2020-02-25,0,0,0
2020-02-25,1,0,0
2020-02-25,2,0,0
2020-02-25,3,0,0
2020-02-25,4,0,0
2020-02-25,5,6,0
2020-02-25,6,18,3
2020-02-25,7,82,5
2020-02-25,8,95,11
2020-02-25,9,36,5
2020-02-25,10,22,4
2020-02-25,11,10,17
2020-02-25,12,6,14
2020-02-25,13,20,11
2020-02-25,14,13,16
2020-02-25,15,7,33
2020-02-25,16,19,72
2020-02-25,17,8,109
2020-02-25,18,25,29
2020-02-25,19,4,23
2020-02-25,20,10,13
2020-02-25,21,0,2
2020-02-25,22,1,1
2020-02-25,23,0,0
2020-02-26,0,0,0
2020-02-26,1,0,0
2020-02-26,2,0,0
2020-02-26,3,0,0
2020-02-26,4,0,0
2020-02-26,5,4,0
2020-02-26,6,10,1
2020-02-26,7,67,7
2020-02-26,8,99,12
2020-02-26,9,39,6
2020-02-26,10,21,15
2020-02-26,11,18,12
2020-02-26,12,19,24
2020-02-26,13,21,19
2020-02-26,14,14,25
2020-02-26,15,9,37
2020-02-26,16,9,76
2020-02-26,17,16,99
2020-02-26,18,19,23
2020-02-26,19,16,29
2020-02-26,20,5,9
2020-02-26,21,0,3
2020-02-26,22,0,1
2020-02-26,23,1,0
2020-02-27,0,0,0
2020-02-27,1,0,1
2020-02-27,2,0,0
2020-02-27,3,0,0
2020-02-27,4,1,0
2020-02-27,5,6,0
2020-02-27,6,18,9
2020-02-27,7,71,8
2020-02-27,8,84,11
2020-02-27,9,31,9
2020-02-27,10,23,12
2020-02-27,11,16,10
2020-02-27,12,13,16
2020-02-27,13,15,12
2020-02-27,14,7,20
2020-02-27,15,5,24
2020-02-27,16,10,73
2020-02-27,17,11,67
2020-02-27,18,14,27
2020-02-27,19,17,27
2020-02-27,20,6,8
2020-02-27,21,0,3
2020-02-27,22,2,0
2020-02-27,23,0,1
2020-02-28,0,0,0
2020-02-28,1,0,0
2020-02-28,2,0,0
2020-02-28,3,0,0
2020-02-28,4,0,0
2020-02-28,5,4,0
2020-02-28,6,14,3
2020-02-28,7,64,12
2020-02-28,8,77,6
2020-02-28,9,38,9
2020-02-28,10,21,8
2020-02-28,11,13,15
2020-02-28,12,8,17
2020-02-28,13,13,13
2020-02-28,14,13,25
2020-02-28,15,9,33
2020-02-28,16,8,55
2020-02-28,17,18,64
2020-02-28,18,12,24
2020-02-28,19,4,16
2020-02-28,20,4,9
2020-02-28,21,1,1
2020-02-28,22,0,1
2020-02-28,23,0,0
2020-02-29,0,0,0
2020-02-29,1,0,0
2020-02-29,2,1,0
2020-02-29,3,0,0
2020-02-29,4,0,0
2020-02-29,5,0,0
2020-02-29,6,12,0
2020-02-29,7,11,12
2020-02-29,8,15,12
2020-02-29,9,15,14
2020-02-29,10,3,3
2020-02-29,11,2,3
2020-02-29,12,0,1
2020-02-29,13,11,3
2020-02-29,14,23,22
2020-02-29,15,22,28
2020-02-29,16,18,26
2020-02-29,17,9,19
2020-02-29,18,11,17
2020-02-29,19,8,5
2020-02-29,20,0,5
2020-02-29,21,1,3
2020-02-29,22,0,0
2020-02-29,23,0,0
2020-03-01,0,0,0
2020-03-01,1,0,3
2020-03-01,2,0,2
2020-03-01,3,0,0
2020-03-01,4,0,0
2020-03-01,5,0,0
2020-03-01,6,6,0
2020-03-01,7,10,10
2020-03-01,8,16,13
2020-03-01,9,38,33
2020-03-01,10,35,46
2020-03-01,11,29,30
2020-03-01,12,35,30
2020-03-01,13,22,20
2020-03-01,14,28,26
2020-03-01,15,21,18
2020-03-01,16,9,15
2020-03-01,17,16,19
2020-03-01,18,12,11
2020-03-01,19,11,10
2020-03-01,20,0,5
2020-03-01,21,0,1
2020-03-01,22,0,0
2020-03-01,23,0,0
2020-03-02,0,0,0
2020-03-02,1,0,0
2020-03-02,2,0,0
2020-03-02,3,0,0
2020-03-02,4,1,0
2020-03-02,5,4,0
2020-03-02,6,14,2
2020-03-02,7,89,5
2020-03-02,8,91,13
2020-03-02,9,36,3
2020-03-02,10,18,16
2020-03-02,11,18,11
2020-03-02,12,13,27
2020-03-02,13,21,12
2020-03-02,14,12,23
2020-03-02,15,12,28
2020-03-02,16,16,75
2020-03-02,17,16,86
2020-03-02,18,14,50
2020-03-02,19,6,20
2020-03-02,20,5,8
2020-03-02,21,0,1
2020-03-02,22,0,2
2020-03-02,23,0,0
2020-03-03,0,0,1
2020-03-03,1,0,0
2020-03-03,2,0,0
2020-03-03,3,0,0
2020-03-03,4,0,0
2020-03-03,5,7,0
2020-03-03,6,15,3
2020-03-03,7,79,6
2020-03-03,8,107,15
2020-03-03,9,36,6
2020-03-03,10,21,12
2020-03-03,11,15,20
2020-03-03,12,10,16
2020-03-03,13,15,7
2020-03-03,14,5,17
2020-03-03,15,9,23
2020-03-03,16,7,80
2020-03-03,17,18,94
2020-03-03,18,20,33
2020-03-03,19,13,29
2020-03-03,20,3,5
2020-03-03,21,1,5
2020-03-03,22,0,1
2020-03-03,23,0,0
2020-03-04,0,0,1
2020-03-04,1,0,2
2020-03-04,2,0,0
2020-03-04,3,0,0
2020-03-04,4,0,0
2020-03-04,5,3,0
2020-03-04,6,7,1
2020-03-04,7,53,3
2020-03-04,8,58,9
2020-03-04,9,19,2
2020-03-04,10,4,2
2020-03-04,11,5,6
2020-03-04,12,9,4
2020-03-04,13,8,2
2020-03-04,14,3,6
2020-03-04,15,36,19
2020-03-04,16,5,49
2020-03-04,17,9,56
2020-03-04,18,4,19
2020-03-04,19,3,11
2020-03-04,20,3,6
2020-03-04,21,0,2
2020-03-04,22,0,0
2020-03-04,23,0,0
2020-03-05,0,0,0
2020-03-05,1,0,0
2020-03-05,2,0,0
2020-03-05,3,0,0
2020-03-05,4,0,0
2020-03-05,5,4,2
2020-03-05,6,12,1
2020-03-05,7,65,5
2020-03-05,8,80,5
2020-03-05,9,36,2
2020-03-05,10,13,5
2020-03-05,11,7,11
2020-03-05,12,14,14
2020-03-05,13,8,10
2020-03-05,14,7,14
2020-03-05,15,11,25
2020-03-05,16,17,56
2020-03-05,17,11,77
2020-03-05,18,10,28
2020-03-05,19,8,21
2020-03-05,20,3,3
2020-03-05,21,1,3
2020-03-05,22,0,0
2020-03-05,23,0,0
2020-03-06,0,0,0
2020-03-06,1,0,0
2020-03-06,2,0,0
2020-03-06,3,0,0
2020-03-06,4,0,0
2020-03-06,5,4,0
2020-03-06,6,4,2
2020-03-06,7,61,8
2020-03-06,8,102,7
2020-03-06,9,28,9
2020-03-06,10,15,15
2020-03-06,11,12,13
2020-03-06,12,10,39
2020-03-06,13,17,6
2020-03-06,14,2,16
2020-03-06,15,4,24
2020-03-06,16,5,53
2020-03-06,17,1,46
2020-03-06,18,5,32
2020-03-06,19,6,13
2020-03-06,20,2,2
2020-03-06,21,1,1
2020-03-06,22,0,0
2020-03-06,23,0,1
2020-03-07,0,0,1
2020-03-07,1,0,0
2020-03-07,2,1,0
2020-03-07,3,0,0
2020-03-07,4,0,0
2020-03-07,5,2,0
2020-03-07,6,7,1
2020-03-07,7,14,11
2020-03-07,8,12,12
2020-03-07,9,16,26
2020-03-07,10,28,17
2020-03-07,11,22,25
2020-03-07,12,23,12
2020-03-07,13,10,17
2020-03-07,14,28,25
2020-03-07,15,25,11
2020-03-07,16,14,19
2020-03-07,17,19,20
2020-03-07,18,8,15
2020-03-07,19,9,15
2020-03-07,20,1,2
