"Timestamp","Word/Phrase 1","Word/Phrase 2","Word/Phrase 3"
"2021/07/06 2:05:16 PM GMT+12","Data","Aggregation","Graphs"
"2021/07/06 4:38:10 PM GMT+12","Data Analysis","data collection","Data Manipulation"
"2021/07/06 6:12:26 PM GMT+12","data collection","graphs","bell distribution"
"2021/07/06 6:13:12 PM GMT+12","Data","Trends","Graphs"
"2021/07/06 8:05:52 PM GMT+12","data analysis","a way of seeing trends in data","tools"
"2021/07/06 11:38:24 PM GMT+12","data and information","analysis and calculations","application"
"2021/07/07 12:07:03 AM GMT+12","Data","Analysis","Distributions"
"2021/07/07 7:14:27 PM GMT+12","All models are wrong","data","uncertainty"
"2021/07/08 10:07:11 PM GMT+12","Interesting","Challenging","Mysterious"
"2021/07/09 3:17:07 PM GMT+12","Analysis","Data","Investigation"
"2021/07/09 10:59:42 PM GMT+12","Understanding Data","Showing trends and behaviours in data","Showing how information or data interacts with itself or relates to other things."
"2021/07/11 5:53:28 PM GMT+12","Number sets","Patterns","Graphs"
"2021/07/12 12:46:40 AM GMT+12","Data","Representation","Information"
"2021/07/12 1:36:23 AM GMT+12","Tool to make $$$","mining","r/dataisbeautiful"